@relation bank-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute age numeric
@attribute job {admin.,technician,services,management,retired,blue-collar,unemployed,entrepreneur,housemaid,unknown,self-employed,student}
@attribute marital {married,single,divorced}
@attribute education {secondary,tertiary,primary,unknown}
@attribute balance numeric
@attribute housing {yes,no}
@attribute loan {no,yes}
@attribute contact {unknown,cellular,telephone}
@attribute day numeric
@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute duration numeric
@attribute campaign numeric
@attribute previous numeric
@attribute poutcome {unknown,other,failure,success}
@attribute deposit {yes,no}

@data
32,management,single,tertiary,6542,yes,no,cellular,15,may,1598,4,5,failure,yes
28,admin.,single,secondary,127,no,no,cellular,16,sep,1334,2,0,unknown,yes
33,admin.,single,secondary,5,yes,no,cellular,15,may,934,2,2,failure,yes
45,management,married,tertiary,96,yes,no,cellular,16,jul,202,1,0,unknown,no
33,technician,single,secondary,1429,yes,no,cellular,31,aug,268,8,0,unknown,yes
26,admin.,single,secondary,1327,no,no,cellular,30,mar,171,4,0,unknown,no
53,technician,married,secondary,5303,yes,no,telephone,17,apr,320,3,1,success,yes
27,housemaid,married,secondary,65,yes,yes,cellular,17,jul,59,1,0,unknown,no
48,self-employed,married,secondary,1559,no,no,cellular,4,feb,130,2,0,unknown,no
39,admin.,single,unknown,0,yes,no,cellular,11,may,62,1,0,unknown,no
30,management,married,tertiary,1235,yes,no,cellular,28,jul,104,3,0,unknown,no
62,retired,married,secondary,3114,no,no,cellular,18,may,243,2,1,success,yes
48,admin.,divorced,secondary,-407,yes,no,cellular,14,may,210,2,1,failure,no
34,management,single,tertiary,2633,yes,no,cellular,21,nov,705,6,0,unknown,yes
47,technician,married,secondary,-9,no,no,cellular,14,aug,457,2,0,unknown,no
29,student,single,secondary,78,no,no,cellular,30,apr,239,1,0,unknown,yes
60,retired,married,secondary,5267,no,no,cellular,4,sep,520,1,0,unknown,yes
33,unemployed,single,tertiary,4874,no,no,telephone,22,feb,363,2,0,unknown,no
40,housemaid,single,tertiary,7441,no,no,cellular,31,jul,1461,6,0,unknown,yes
39,management,divorced,tertiary,224,no,no,cellular,5,apr,208,1,0,unknown,yes
53,blue-collar,married,secondary,-76,no,no,cellular,29,jan,173,1,4,other,no
60,management,married,tertiary,3401,no,no,cellular,30,oct,294,1,1,failure,yes
35,services,married,secondary,2918,no,yes,cellular,16,jul,815,2,3,success,yes
51,technician,married,secondary,1327,no,no,cellular,7,jul,21,2,0,unknown,no
37,management,married,tertiary,658,yes,no,cellular,5,may,838,1,0,unknown,yes
48,technician,married,secondary,23495,no,no,cellular,22,aug,63,8,0,unknown,no
38,admin.,married,secondary,11303,no,no,cellular,28,dec,473,2,2,failure,yes
31,management,single,tertiary,5205,no,no,cellular,9,jun,529,2,0,unknown,yes
30,management,single,tertiary,265,no,no,cellular,25,nov,295,1,3,success,no
35,management,married,tertiary,-547,yes,no,cellular,14,aug,101,2,0,unknown,no
78,retired,divorced,secondary,631,no,no,telephone,11,aug,95,1,0,unknown,no
31,management,single,tertiary,1761,yes,no,telephone,29,jul,332,3,3,failure,yes
28,admin.,single,secondary,261,yes,yes,cellular,29,jan,254,3,6,success,yes
52,housemaid,married,primary,10943,no,no,cellular,16,sep,292,1,0,unknown,yes
43,management,married,tertiary,0,yes,no,cellular,21,jul,474,1,0,unknown,no
32,technician,married,tertiary,4654,yes,yes,cellular,20,nov,276,1,2,failure,yes
46,technician,married,secondary,57,no,no,unknown,28,may,796,1,0,unknown,yes
28,unknown,single,unknown,326,no,no,cellular,11,oct,450,1,1,success,yes
47,blue-collar,married,secondary,3630,yes,no,unknown,14,may,133,4,0,unknown,no
45,admin.,divorced,secondary,59,yes,no,cellular,24,jul,873,8,0,unknown,yes
57,management,married,tertiary,375,no,no,cellular,21,oct,135,1,0,unknown,yes
55,technician,married,secondary,462,no,no,cellular,11,aug,116,2,0,unknown,no
29,unemployed,single,tertiary,1311,no,no,cellular,28,aug,622,1,0,unknown,yes
33,blue-collar,single,primary,-15,no,yes,cellular,7,jul,326,2,0,unknown,no
34,management,married,tertiary,3047,no,no,cellular,30,apr,317,1,5,other,yes
36,student,single,tertiary,129,no,no,cellular,27,oct,149,1,0,unknown,yes
41,self-employed,married,tertiary,0,yes,no,telephone,29,apr,395,3,1,other,yes
36,blue-collar,married,secondary,324,yes,yes,cellular,16,jul,830,1,0,unknown,yes
26,blue-collar,single,secondary,8,yes,no,cellular,13,may,167,1,0,unknown,no
33,technician,married,secondary,133,no,no,cellular,4,may,218,1,0,unknown,yes
35,technician,single,tertiary,992,yes,no,cellular,26,aug,79,1,3,failure,no
59,management,married,secondary,4412,no,no,cellular,2,nov,162,2,0,unknown,yes
39,admin.,single,tertiary,22086,no,no,cellular,4,jun,160,1,0,unknown,yes
51,technician,married,secondary,117,no,no,cellular,18,feb,442,2,0,unknown,yes
34,technician,married,secondary,260,yes,no,cellular,17,apr,20,2,2,failure,no
33,management,married,tertiary,71,no,no,cellular,16,nov,136,1,1,failure,no
71,retired,divorced,primary,275,no,no,cellular,14,jun,293,1,1,success,yes
52,services,married,secondary,992,yes,no,cellular,27,oct,424,1,1,failure,yes
30,management,single,tertiary,552,yes,no,cellular,5,aug,648,2,0,unknown,no
30,entrepreneur,married,secondary,12737,no,yes,cellular,19,nov,589,2,0,unknown,yes
60,retired,married,secondary,11,no,no,cellular,29,jun,265,1,2,failure,yes
23,student,single,secondary,431,no,no,cellular,15,feb,201,3,2,success,yes
55,technician,married,tertiary,1320,no,no,cellular,28,apr,387,2,0,unknown,yes
36,management,married,tertiary,849,yes,yes,unknown,21,may,958,2,0,unknown,yes
53,management,married,secondary,90,yes,no,telephone,20,apr,67,5,0,unknown,no
27,blue-collar,single,primary,377,no,no,cellular,19,feb,645,2,0,unknown,yes
36,blue-collar,married,primary,599,yes,no,unknown,21,may,649,2,0,unknown,yes
47,housemaid,divorced,primary,1405,no,no,unknown,12,jun,127,1,0,unknown,no
25,student,single,secondary,703,no,no,cellular,5,may,1100,3,0,unknown,no
33,admin.,single,secondary,1437,yes,no,unknown,21,may,641,1,0,unknown,no
33,technician,married,tertiary,1699,no,no,cellular,4,aug,600,1,0,unknown,yes
31,technician,single,tertiary,252,no,no,cellular,8,jun,107,3,0,unknown,yes
28,student,single,secondary,196,no,no,cellular,2,jul,423,3,0,unknown,yes
46,management,single,tertiary,593,yes,no,cellular,29,jan,190,3,0,unknown,no
39,management,single,tertiary,1234,no,no,telephone,29,jul,64,4,0,unknown,no
31,technician,married,tertiary,636,yes,no,cellular,4,may,352,4,0,unknown,yes
36,management,married,tertiary,1113,no,no,cellular,1,sep,212,1,0,unknown,yes
28,technician,single,tertiary,4513,yes,no,unknown,27,may,167,3,0,unknown,no
