@relation bank-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute age numeric
@attribute job {admin.,technician,services,management,retired,blue-collar,unemployed,entrepreneur,housemaid,unknown,self-employed,student}
@attribute marital {married,single,divorced}
@attribute education {secondary,tertiary,primary,unknown}
@attribute balance numeric
@attribute housing {yes,no}
@attribute loan {no,yes}
@attribute contact {unknown,cellular,telephone}
@attribute day numeric
@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute duration numeric
@attribute campaign numeric
@attribute previous numeric
@attribute poutcome {unknown,other,failure,success}
@attribute deposit {yes,no}

@data
52,admin.,single,unknown,2227,no,no,cellular,24,feb,242,2,0,unknown,yes
56,unemployed,single,primary,1110,no,no,cellular,4,feb,945,2,0,unknown,yes
49,services,married,primary,1830,yes,no,cellular,13,aug,261,1,1,success,yes
52,blue-collar,married,secondary,665,yes,no,unknown,15,may,57,4,0,unknown,no
76,housemaid,divorced,primary,1411,no,no,telephone,19,oct,233,2,3,success,yes
25,blue-collar,single,secondary,-375,yes,no,cellular,14,jul,61,2,0,unknown,no
37,technician,married,secondary,1707,yes,no,cellular,26,jul,546,2,3,failure,yes
53,management,married,primary,13901,yes,no,cellular,21,nov,59,1,0,unknown,no
35,management,married,tertiary,867,yes,no,cellular,20,nov,298,2,3,success,no
51,technician,married,tertiary,1347,yes,yes,cellular,10,feb,160,1,1,failure,yes
54,unemployed,divorced,secondary,1664,no,no,cellular,15,sep,106,1,3,success,yes
47,management,married,tertiary,761,yes,no,cellular,11,jul,80,2,0,unknown,no
53,management,married,tertiary,1624,no,no,cellular,6,aug,107,1,6,success,yes
40,management,married,tertiary,16,no,yes,cellular,9,feb,47,4,0,unknown,no
53,management,married,tertiary,1624,no,no,cellular,11,nov,166,3,7,success,yes
26,self-employed,married,tertiary,479,yes,no,cellular,9,feb,133,3,0,unknown,no
63,retired,married,tertiary,1795,no,no,cellular,7,sep,219,1,0,unknown,yes
23,technician,single,secondary,356,yes,no,cellular,18,may,224,2,2,failure,no
44,management,married,tertiary,1945,no,no,unknown,14,may,191,1,0,unknown,no
35,management,married,tertiary,611,no,no,cellular,1,oct,305,2,1,success,yes
35,management,single,tertiary,1162,no,no,cellular,30,apr,175,1,0,unknown,yes
26,student,single,secondary,502,yes,no,telephone,7,may,82,1,0,unknown,no
32,management,single,tertiary,354,no,no,cellular,4,mar,177,2,5,other,yes
80,retired,married,secondary,8304,no,no,telephone,8,sep,606,3,13,success,yes
35,admin.,divorced,secondary,0,no,no,cellular,30,jul,186,6,0,unknown,no
40,services,divorced,primary,4,yes,no,cellular,7,may,171,2,0,unknown,no
41,management,married,tertiary,1092,no,no,cellular,5,aug,736,1,0,unknown,yes
25,technician,single,secondary,0,no,yes,cellular,8,jul,634,1,0,unknown,yes
64,retired,married,secondary,3189,no,no,telephone,15,jun,208,1,0,unknown,yes
37,services,married,secondary,144,yes,no,cellular,20,apr,724,2,0,unknown,no
31,services,married,secondary,71,yes,no,cellular,17,jul,740,2,0,unknown,no
55,blue-collar,married,primary,3297,yes,yes,telephone,30,apr,96,1,0,unknown,no
73,retired,married,primary,5539,no,no,telephone,6,aug,338,1,0,unknown,yes
39,technician,married,primary,2118,yes,no,cellular,17,apr,266,2,0,unknown,no
42,housemaid,married,unknown,302,yes,no,cellular,11,jul,342,2,0,unknown,no
36,technician,single,secondary,144,no,no,cellular,26,may,87,1,2,failure,no
40,management,married,tertiary,2487,no,no,cellular,30,apr,126,1,0,unknown,no
28,entrepreneur,single,secondary,1734,yes,no,unknown,3,jun,161,3,0,unknown,no
35,blue-collar,married,secondary,503,yes,yes,unknown,9,may,57,2,0,unknown,no
37,blue-collar,married,unknown,-1050,yes,no,unknown,2,jun,548,2,0,unknown,no
38,entrepreneur,single,secondary,2543,no,no,cellular,10,aug,223,1,4,failure,yes
35,admin.,single,primary,8,yes,no,unknown,16,may,148,18,0,unknown,no
45,housemaid,divorced,primary,221,no,no,cellular,2,feb,93,1,1,failure,no
78,retired,married,unknown,4807,no,no,telephone,3,feb,892,2,4,success,yes
35,technician,married,secondary,149,yes,no,cellular,29,jan,99,1,2,failure,no
37,management,married,secondary,565,no,no,cellular,6,aug,174,1,3,failure,yes
28,technician,single,tertiary,2489,yes,no,telephone,27,feb,342,2,0,unknown,yes
40,unemployed,divorced,secondary,991,yes,no,unknown,12,jun,316,2,0,unknown,no
42,technician,single,secondary,-1129,yes,no,unknown,2,jun,555,5,0,unknown,yes
34,management,married,tertiary,158,no,no,cellular,9,mar,212,3,6,success,yes
55,technician,married,tertiary,169,no,yes,cellular,5,aug,618,2,0,unknown,yes
43,unemployed,single,tertiary,983,yes,no,cellular,26,feb,97,1,0,unknown,yes
36,management,divorced,tertiary,36,no,no,cellular,6,aug,836,4,0,unknown,yes
